Company,Region,Vertical,Funding Amount (USD),Funding Stage,Funding Date
Buck.ai,United States,Artificial Intelligence,300000,Seed,Jan-20
Seatrec,United States,Marine Technology,970000,Seed,Jan-20
BeeCanvas,United States,B2B Software,1000000,Seed,Jan-20
SmartKarrot,United States,B2B Software,1000000,Angel,Jan-20
Fundraise Up,United States,B2B Software,1250000,Seed,Jan-20
Yac,United States,B2B Software,1250000,Seed,Jan-20
Cloverleaf.me,United States,Human Resources,1300000,Seed,Jan-20
Docket,United States,B2B Software,1500000,Seed,Jan-20
Podsights,United States,Marketing,1500000,Seed,Jan-20
SIMBA Chain,United States,Blockchain,1500000,Seed,Jan-20
Defendify,United States,Cyber Security,2000000,Seed,Jan-20
OpenPhone,United States,B2B Software,2000000,Seed,Jan-20
Punch List,United States,Home Renovation,2000000,Seed,Jan-20
Kloud.io,United States,B2B Software,4000000,Seed,Jan-20
Upflex,United States,CoWorking,4100000,Seed,Jan-20
1Huddle,United States,Human Resources,5000000,Series A,Jan-20
Luxury Presence,United States,Real Estate,5400000,Series A,Jan-20
Lynq,United States,Hardware,6000000,Seed,Jan-20
Stoplight,United States,B2B Software,6000000,Series A,Jan-20
TypingDNA,United States,Artificial Intelligence,7000000,Series A,Jan-20
Ceterus,United States,B2B Software,9100000,Series C,Jan-20
AppOmni,United States,Cyber Security,10000000,Series A,Jan-20
Containous,United States,B2B Software,10000000,Series A,Jan-20
Legalpad,United States,Legal Tech,10000000,Series A,Jan-20
Neighbor,United States,Consumer,10000000,Series A,Jan-20
Otter.ai,United States,Artificial Intelligence,10000000,Series B,Jan-20
AbSci,United States,Biotechnology,10400000,Series D,Jan-20
Feathr,United States,B2B Software,11000000,Series B,Jan-20
Locale,United States,Travel,11000000,Series A,Jan-20
Lily AI,United States,Artificial Intelligence,12500000,Series A,Jan-20
BlueConic,United States,B2B Software,12800000,Series B,Jan-20
Spatial,United States,Augmented Reality,14000000,Series A,Jan-20
Roambee,United States,Logistics,15200000,Series B,Jan-20
Insurify,United States,Artificial Intelligence,23000000,Series A,Jan-20
MURAL,United States,B2B Software,23000000,Series A,Jan-20
Clubhouse,United States,B2B Software,25000000,Series B,Jan-20
CREXi,United States,Real Estate,30000000,Series B,Jan-20
Workboard,United States,B2B Software,30000000,Series C,Jan-20
Modern Health,United States,Human Resources,31000000,Series B,Jan-20
Verbit.ai,United States,Artificial Intelligence,31000000,Series B,Jan-20
Productboard,United States,B2B Software,45000000,Series B,Jan-20
Justworks,United States,B2B Software,50000000,Series E,Jan-20
SECURITI.ai,United States,Artificial Intelligence,50000000,Series B,Jan-20
LaunchDarkly,United States,B2B Software,54000000,Series D,Jan-20
Element Biosciences,United States,Biotechnology,80000000,Series B,Jan-20
Verkada,United States,Computer Vision,80000000,Series C,Jan-20
ActiveCampaign,United States,B2B Software,100000000,Series B,Jan-20
Sisense,United States,B2B Software,100000000,Series F,Jan-20
